2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,192,Norwood,630,38.65,1000,61.35,1630,98.43,26,1.57,1656
1,TAS,192,Norwood North,194,46.63,222,53.37,416,99.28,3,0.72,419
1,TAS,196,Nubeena,317,45.16,385,54.84,702,98.87,8,1.13,710
1,TAS,192,Nunamara,91,31.82,195,68.18,286,98.96,3,1.04,289
1,TAS,196,Oatlands,182,27.7,475,72.3,657,98.5,10,1.5,667
1,TAS,196,Old Beach,639,37.02,1087,62.98,1726,98.4,28,1.6,1754
1,TAS,196,Orford,163,35.82,292,64.18,455,99.34,3,0.66,458
1,TAS,195,Other Mobile Team 1,12,50,12,50,24,96,1,4,25
1,TAS,319,Other Mobile Team 1,3,50,3,50,6,100,0,0,6
1,TAS,192,Other Mobile Team 1,2,28.57,5,71.43,7,100,0,0,7
1,TAS,193,Other Mobile Team 1,95,11.99,697,88.01,792,98.63,11,1.37,803
1,TAS,192,Other Mobile Team 2,12,85.71,2,14.29,14,100,0,0,14
1,TAS,319,Other Mobile Team 2,1,33.33,2,66.67,3,100,0,0,3
1,TAS,195,Other Mobile Team 2,8,66.67,4,33.33,12,100,0,0,12
1,TAS,196,Ouse,61,20.68,234,79.32,295,98.66,4,1.34,299
1,TAS,193,Penguin,460,32.15,971,67.85,1431,98.76,18,1.24,1449
1,TAS,196,Perth,548,29.37,1318,70.63,1866,98.42,30,1.58,1896
1,TAS,192,Pipers River,62,26.84,169,73.16,231,98.72,3,1.28,234
1,TAS,196,Pontville,205,26.83,559,73.17,764,99.22,6,0.78,770
1,TAS,193,Port Sorell,452,30.48,1031,69.52,1483,98.93,16,1.07,1499
1,TAS,193,Port Sorell West,328,35.61,593,64.39,921,98.82,11,1.18,932
1,TAS,193,Preston,27,25.96,77,74.04,104,99.05,1,0.95,105
1,TAS,196,Primrose Sands,157,37.12,266,62.88,423,97.69,10,2.31,433
1,TAS,192,Prospect (Bass),124,35.84,222,64.16,346,98.3,6,1.7,352
1,TAS,196,Prospect (Lyons),470,34.92,876,65.08,1346,98.54,20,1.46,1366
1,TAS,192,Prospect East (Bass),49,32.89,100,67.11,149,98.03,3,1.97,152
1,TAS,196,Prospect East (Lyons),80,44.69,99,55.31,179,99.44,1,0.56,180
1,TAS,193,Queenstown,89,31.12,197,68.88,286,99.31,2,0.69,288
1,TAS,193,Queenstown PPVC,157,20.26,618,79.74,775,98.6,11,1.4,786
1,TAS,196,Railton,148,23.87,472,76.13,620,98.57,9,1.43,629
1,TAS,195,Ranelagh,442,44.69,547,55.31,989,98.51,15,1.49,1004
1,TAS,192,Ravenswood,372,25.74,1073,74.26,1445,98.37,24,1.63,1469
1,TAS,193,Riana,51,30.54,116,69.46,167,99.4,1,0.6,168
1,TAS,196,Richmond,375,43.55,486,56.45,861,99.19,7,0.81,868
1,TAS,193,Ridgley,113,20.73,432,79.27,545,98.73,7,1.27,552
1,TAS,192,Ringarooma,81,29.45,194,70.55,275,97.86,6,2.14,281
1,TAS,195,Risdon Vale,473,33.86,924,66.14,1397,98.52,21,1.48,1418
1,TAS,192,Riverside,578,42.34,787,57.66,1365,99.2,11,0.8,1376
1,TAS,192,Riverside North,113,42.8,151,57.2,264,99.62,1,0.38,265
1,TAS,192,Rocherlea,81,33.75,159,66.25,240,99.17,2,0.83,242
1,TAS,193,Rocky Cape,73,19.84,295,80.16,368,99.46,2,0.54,370
1,TAS,195,Rokeby,606,40.73,882,59.27,1488,98.61,21,1.39,1509
1,TAS,193,Romaine,349,29.23,845,70.77,1194,98.68,16,1.32,1210
1,TAS,193,Rosebery,85,27.51,224,72.49,309,98.41,5,1.59,314
1,TAS,319,Rosetta,304,57.36,226,42.64,530,97.43,14,2.57,544
1,TAS,196,Ross,93,31.63,201,68.37,294,99.32,2,0.68,296
1,TAS,319,Sandfly (Clark),139,57.44,103,42.56,242,97.98,5,2.02,247
1,TAS,195,Sandfly (Franklin),349,52.56,315,47.44,664,98.81,8,1.19,672
1,TAS,195,Sandford,854,57.16,640,42.84,1494,99.07,14,0.93,1508
1,TAS,319,Sandy Bay,698,62.38,421,37.62,1119,99.64,4,0.36,1123
1,TAS,319,Sandy Bay Beach,291,50.26,288,49.74,579,99.83,1,0.17,580
1,TAS,319,Sandy Bay Central,670,72.12,259,27.88,929,98.94,10,1.06,939
1,TAS,319,Sandy Bay South,502,60.92,322,39.08,824,99.76,2,0.24,826
1,TAS,193,Sassafras,35,14.29,210,85.71,245,99.59,1,0.41,246
1,TAS,196,Scamander,148,44.85,182,55.15,330,99.4,2,0.6,332
1,TAS,192,Scottsdale,314,20.26,1236,79.74,1550,99.36,10,0.64,1560
1,TAS,195,Seven Mile Beach,532,56.78,405,43.22,937,99.36,6,0.64,943
1,TAS,196,Sheffield,243,24.72,740,75.28,983,98.79,12,1.21,995
1,TAS,193,Shorewell Park,345,35.35,631,64.65,976,99.39,6,0.61,982
1,TAS,192,Sidmouth,142,33.57,281,66.43,423,99.76,1,0.24,424
1,TAS,193,Sisters Beach,110,43.65,142,56.35,252,98.44,4,1.56,256
1,TAS,193,Sisters Creek,44,35.48,80,64.52,124,100,0,0,124
1,TAS,193,Smithton,275,17.56,1291,82.44,1566,99.3,11,0.7,1577
1,TAS,195,Snug,557,50.59,544,49.41,1101,98.48,17,1.52,1118
1,TAS,193,Somerset,443,27.95,1142,72.05,1585,98.45,25,1.55,1610
1,TAS,196,Sorell,563,33.59,1113,66.41,1676,98.13,32,1.87,1708
1,TAS,195,Sorell FRANKLIN PPVC,245,42.24,335,57.76,580,97.32,16,2.68,596
1,TAS,196,Sorell LYONS PPVC,1912,35.24,3514,64.76,5426,98.91,60,1.09,5486
1,TAS,196,Sorell South,154,45.97,181,54.03,335,98.82,4,1.18,339
1,TAS,195,South Arm,356,56.87,270,43.13,626,99.68,2,0.32,628
1,TAS,319,South Hobart,845,75.45,275,24.55,1120,99.2,9,0.8,1129
1,TAS,192,South Launceston East,462,49.68,468,50.32,930,99.36,6,0.64,936
1,TAS,192,South Launceston West,267,54.27,225,45.73,492,98.99,5,1.01,497
1,TAS,193,South Riana,54,27.69,141,72.31,195,99.49,1,0.51,196
1,TAS,195,Southport,61,39.35,94,60.65,155,98.73,2,1.27,157
1,TAS,319,Special Hospital Team 1,220,56.41,170,43.59,390,98.48,6,1.52,396
1,TAS,195,Special Hospital Team 1,252,49.61,256,50.39,508,99.22,4,0.78,512
1,TAS,192,Special Hospital Team 1,89,40.09,133,59.91,222,98.67,3,1.33,225
1,TAS,193,Special Hospital Team 1,4,44.44,5,55.56,9,100,0,0,9
1,TAS,196,Special Hospital Team 1,72,38.71,114,61.29,186,97.89,4,2.11,190
1,TAS,192,Special Hospital Team 2,198,43.42,258,56.58,456,99.56,2,0.44,458
1,TAS,196,Special Hospital Team 2,64,42.95,85,57.05,149,99.33,1,0.67,150
1,TAS,193,Special Hospital Team 2,105,30,245,70,350,98.59,5,1.41,355
1,TAS,319,Special Hospital Team 2,8,50,8,50,16,100,0,0,16
1,TAS,193,Special Hospital Team 3,94,34.56,178,65.44,272,95.44,13,4.56,285
1,TAS,196,Special Hospital Team 3,44,29.73,104,70.27,148,99.33,1,0.67,149
1,TAS,192,Special Hospital Team 3,83,51.88,77,48.13,160,98.16,3,1.84,163
1,TAS,193,Special Hospital Team 4,106,37.46,177,62.54,283,96.59,10,3.41,293
1,TAS,193,Sprent,50,22.12,176,77.88,226,99.56,1,0.44,227
1,TAS,193,Spreyton,331,23.9,1054,76.1,1385,99.14,12,0.86,1397
1,TAS,196,St Helens,248,35.28,455,64.72,703,98.74,9,1.26,712
1,TAS,196,St Helens PPVC,769,35.6,1391,64.4,2160,99.08,20,0.92,2180
1,TAS,192,St Leonards,293,29.27,708,70.73,1001,98.72,13,1.28,1014
1,TAS,196,St Marys,202,42.44,274,57.56,476,98.76,6,1.24,482
1,TAS,193,Stanley,107,29.48,256,70.52,363,99.45,2,0.55,365
1,TAS,193,Stowport,72,23.84,230,76.16,302,98.69,4,1.31,306
1,TAS,193,Strahan,84,26.92,228,73.08,312,99.68,1,0.32,313
1,TAS,193,Sulphur Creek,224,30.23,517,69.77,741,98.67,10,1.33,751
1,TAS,192,Summerhill (Bass),675,35.25,1240,64.75,1915,98.81,23,1.19,1938
1,TAS,196,Summerhill (Lyons),132,28.82,326,71.18,458,98.07,9,1.93,467
1,TAS,196,Swansea,243,30.99,541,69.01,784,99.12,7,0.88,791
1,TAS,196,Taranna,147,47.73,161,52.27,308,100,0,0,308
1,TAS,319,Taroona,953,74.98,318,25.02,1271,99.61,5,0.39,1276
1,TAS,196,Tea Tree,78,30.71,176,69.29,254,98.45,4,1.55,258
1,TAS,192,Trevallyn,440,43.22,578,56.78,1018,97.88,22,2.12,1040
1,TAS,192,Trevallyn Central,562,62.1,343,37.9,905,98.91,10,1.09,915
