2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,238,Cottesloe North,866,56.12,677,43.88,1543,98.91,17,1.09,1560
1,WA,239,Cowaramup,498,50.61,486,49.39,984,99.09,9,0.91,993
1,WA,242,Craigie,762,42.64,1025,57.36,1787,98.84,21,1.16,1808
1,WA,243,Cranbrook,37,10.72,308,89.28,345,99.14,3,0.86,348
1,WA,243,Cuballing,52,19.62,213,80.38,265,98.88,3,1.12,268
1,WA,312,Cue,17,18.48,75,81.52,92,100,0,0,92
1,WA,243,Cunderdin,57,15,323,85,380,99.48,2,0.52,382
1,WA,242,Currambine,618,35.93,1102,64.07,1720,98.91,19,1.09,1739
1,WA,242,Currambine MOORE PPVC,2395,27.51,6310,72.49,8705,99.36,56,0.64,8761
1,WA,244,Currambine PEARCE PPVC,238,27.74,620,72.26,858,99.19,7,0.81,865
1,WA,242,Currambine West,165,32.1,349,67.9,514,98.47,8,1.53,522
1,WA,238,Dalkeith,857,44.89,1052,55.11,1909,99.32,13,0.68,1922
1,WA,312,Dalwallinu,81,21.77,291,78.23,372,99.73,1,0.27,373
1,WA,239,Dalyellup,675,31.79,1448,68.21,2123,98.65,29,1.35,2152
1,WA,239,Dalyellup South,357,31.12,790,68.88,1147,98.45,18,1.55,1165
1,WA,312,Dampier PPVC,586,26.1,1659,73.9,2245,99.29,16,0.71,2261
1,WA,312,Dandaragan,46,18.4,204,81.6,250,100,0,0,250
1,WA,244,Darch,697,37.92,1141,62.08,1838,98.61,26,1.39,1864
1,WA,244,Darch South,135,38.79,213,61.21,348,99.43,2,0.57,350
1,WA,239,Dardanup,167,20,668,80,835,99.52,4,0.48,839
1,WA,243,Darkan,23,11.98,169,88.02,192,98.97,2,1.03,194
1,WA,305,Darlington,789,59.32,541,40.68,1330,99.25,10,0.75,1340
1,WA,236,Dawesville,175,26.32,490,73.68,665,98.66,9,1.34,674
1,WA,236,Dawesville West,276,29.65,655,70.35,931,98.83,11,1.17,942
1,WA,305,Dayton,469,45.71,557,54.29,1026,99.52,5,0.48,1031
1,WA,312,Denham,165,44.12,209,55.88,374,98.94,4,1.06,378
1,WA,243,Denmark,1092,54.09,927,45.91,2019,99.02,20,0.98,2039
1,WA,312,Derby,378,48.96,394,51.04,772,98.72,10,1.28,782
1,WA,245,Dianella,587,46.08,687,53.92,1274,98.91,14,1.09,1288
1,WA,245,Dianella East,437,50.64,426,49.36,863,98.63,12,1.37,875
1,WA,237,Dianella Heights,501,43.23,658,56.77,1159,99.74,3,0.26,1162
1,WA,237,Dianella North,588,39.73,892,60.27,1480,99.26,11,0.74,1491
1,WA,245,Dianella South,403,47.13,452,52.87,855,98.28,15,1.72,870
1,WA,237,Dianella St Andrew's,326,30.27,751,69.73,1077,98.81,13,1.19,1090
1,WA,237,Dianella West,564,42.73,756,57.27,1320,98.73,17,1.27,1337
1,WA,312,Dongara,264,16.86,1302,83.14,1566,99.05,15,0.95,1581
1,WA,239,Donnybrook,430,24.23,1345,75.77,1775,98.94,19,1.06,1794
1,WA,238,Doubleview,1584,59.64,1072,40.36,2656,98.77,33,1.23,2689
1,WA,238,Doubleview North,204,61.26,129,38.74,333,98.81,4,1.19,337
1,WA,312,Dowerin,33,12.69,227,87.31,260,100,0,0,260
1,WA,312,Drummond Cove,175,32.41,365,67.59,540,98.72,7,1.28,547
1,WA,236,Dudley Park,270,28.72,670,71.28,940,98.74,12,1.26,952
1,WA,243,Dumbleyung,23,12.71,158,87.29,181,100,0,0,181
1,WA,242,Duncraig,769,48.76,808,51.24,1577,98.87,18,1.13,1595
1,WA,242,Duncraig East,600,48.78,630,51.22,1230,98.95,13,1.05,1243
1,WA,242,Duncraig North,739,48.27,792,51.73,1531,98.84,18,1.16,1549
1,WA,242,Duncraig PPVC,4112,33.78,8061,66.22,12173,99.47,65,0.53,12238
1,WA,242,Duncraig South,560,46.09,655,53.91,1215,99.18,10,0.82,1225
1,WA,239,Dunsborough,773,45.28,934,54.72,1707,98.61,24,1.39,1731
1,WA,239,Dunsborough South,477,55.08,389,44.92,866,98.86,10,1.14,876
1,WA,243,Duranillin,6,6.9,81,93.1,87,97.75,2,2.25,89
1,WA,236,Dwellingup,79,25,237,75,316,98.75,4,1.25,320
1,WA,239,Eagle Bay PPVC,466,43.88,596,56.12,1062,99.44,6,0.56,1068
1,WA,247,East Cannington,876,44,1115,56,1991,99.05,19,0.95,2010
1,WA,240,East Fremantle North,833,63.83,472,36.17,1305,98.94,14,1.06,1319
1,WA,245,East Perth,837,54.21,707,45.79,1544,99.1,14,0.9,1558
1,WA,247,East Victoria Park,1043,61.61,650,38.39,1693,99.3,12,0.7,1705
1,WA,247,East Victoria Park South,1182,63.93,667,36.07,1849,99.41,11,0.59,1860
1,WA,239,Eaton,195,25.76,562,74.24,757,98.95,8,1.05,765
1,WA,239,Eaton East,332,26.18,936,73.82,1268,98.68,17,1.32,1285
1,WA,239,Eaton North,236,28.75,585,71.25,821,98.8,10,1.2,831
1,WA,235,EAV Brand PPVC,0,0,0,0,0,0,0,0,0
1,WA,317,EAV Burt PPVC,0,0,0,0,0,0,0,0,0
1,WA,236,EAV Canning PPVC,0,0,0,0,0,0,0,0,0
1,WA,237,EAV Cowan PPVC,0,0,0,0,0,0,0,0,0
1,WA,238,EAV Curtin PPVC,0,0,0,0,0,0,0,0,0
1,WA,312,EAV Durack PPVC,0,0,0,0,0,0,0,0,0
1,WA,239,EAV Forrest PPVC,0,0,0,0,0,0,0,0,0
1,WA,240,EAV Fremantle PPVC,0,0,0,0,0,0,0,0,0
1,WA,305,EAV Hasluck PPVC,0,0,0,0,0,0,0,0,0
1,WA,242,EAV Moore PPVC,0,0,0,0,0,0,0,0,0
1,WA,243,EAV O'Connor PPVC,0,0,0,0,0,0,0,0,0
1,WA,244,EAV Pearce PPVC,0,0,0,0,0,0,0,0,0
1,WA,245,EAV Perth PPVC,0,0,0,0,0,0,0,0,0
1,WA,247,EAV Swan PPVC,0,0,0,0,0,0,0,0,0
1,WA,248,EAV Tangney PPVC,0,0,0,0,0,0,0,0,0
1,WA,245,Eden Hill,748,48.51,794,51.49,1542,99.04,15,0.96,1557
1,WA,242,Edgewater,722,43.47,939,56.53,1661,98.93,18,1.07,1679
1,WA,243,Elleker,107,31.75,230,68.25,337,99.12,3,0.88,340
1,WA,305,Ellenbrook,361,38.65,573,61.35,934,99.15,8,0.85,942
1,WA,305,Ellenbrook Central,555,37.96,907,62.04,1462,98.85,17,1.15,1479
1,WA,312,Ellenbrook DURACK PPVC,158,16.41,805,83.59,963,99.59,4,0.41,967
1,WA,305,Ellenbrook East,386,32.3,809,67.7,1195,99.17,10,0.83,1205
1,WA,305,Ellenbrook HASLUCK PPVC,3091,26.1,8750,73.9,11841,99.88,14,0.12,11855
1,WA,305,Ellenbrook North,549,37.3,923,62.7,1472,99.39,9,0.61,1481
1,WA,305,Ellenbrook South,412,34.68,776,65.32,1188,98.43,19,1.57,1207
1,WA,305,Ellenbrook West,517,34.81,968,65.19,1485,99.13,13,0.87,1498
1,WA,245,Embleton,514,47.46,569,52.54,1083,98.1,21,1.9,1104
1,WA,243,Emu Point,88,34.38,168,65.63,256,99.22,2,0.78,258
1,WA,312,Eneabba,18,15.52,98,84.48,116,99.15,1,0.85,117
1,WA,243,Esperance,305,32.8,625,67.2,930,99.47,5,0.53,935
1,WA,243,Esperance PPVC,793,17.4,3764,82.6,4557,99.37,29,0.63,4586
1,WA,312,Exmouth,397,35.01,737,64.99,1134,99.13,10,0.87,1144
1,WA,312,Exmouth PPVC,0,0,0,0,0,0,0,0,0
1,WA,236,Falcon PPVC,2274,21.16,8472,78.84,10746,99.44,60,0.56,10806
1,WA,239,Ferguson,58,35.8,104,64.2,162,98.18,3,1.82,165
1,WA,248,Ferndale,224,41.03,322,58.97,546,99.27,4,0.73,550
1,WA,248,Ferndale East,259,37.27,436,62.73,695,99,7,1,702
1,WA,312,Fitzroy Crossing,86,60.14,57,39.86,143,100,0,0,143
1,WA,312,Fitzroy Crossing PPVC,136,80.47,33,19.53,169,98.26,3,1.74,172
1,WA,238,Floreat,852,53.86,730,46.14,1582,99.56,7,0.44,1589
1,WA,238,Floreat East,471,54.77,389,45.23,860,99.08,8,0.92,868
1,WA,317,Forrestdale,161,28.96,395,71.04,556,97.89,12,2.11,568
1,WA,247,Forrestfield,597,31.34,1308,68.66,1905,99.06,18,0.94,1923
1,WA,247,Forrestfield North,625,32.18,1317,67.82,1942,98.73,25,1.27,1967
1,WA,247,Forrestfield West,278,37.77,458,62.23,736,98.4,12,1.6,748
1,WA,243,Frankland,38,19.59,156,80.41,194,99.49,1,0.51,195
