2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:22 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,233,Birregurra,269,56.99,203,43.01,472,98.74,6,1.26,478
1,VIC,211,Bittern,220,45.45,264,54.55,484,99.18,4,0.82,488
1,VIC,198,Black Hill,839,63.9,474,36.1,1313,99.09,12,0.91,1325
1,VIC,214,Black Rock,612,62.58,366,37.42,978,99.19,8,0.81,986
1,VIC,214,Black Rock South,908,55.84,718,44.16,1626,99.03,16,0.97,1642
1,VIC,205,Blackburn (Chisholm),508,62.64,303,37.36,811,99.51,4,0.49,815
1,VIC,209,Blackburn (Deakin),266,68.21,124,31.79,390,99.24,3,0.76,393
1,VIC,209,Blackburn Lake,887,63.86,502,36.14,1389,98.16,26,1.84,1415
1,VIC,229,Blackburn North,683,62.95,402,37.05,1085,99,11,1,1096
1,VIC,229,Blackburn North Heights,923,61.99,566,38.01,1489,98.94,16,1.06,1505
1,VIC,205,Blackburn South,1047,55.51,839,44.49,1886,98.8,23,1.2,1909
1,VIC,229,Blackburn Upper,677,58.16,487,41.84,1164,99.06,11,0.94,1175
1,VIC,229,Blackburn West,461,57.7,338,42.3,799,98.28,14,1.72,813
1,VIC,326,Blackwood,146,55.51,117,44.49,263,98.87,3,1.13,266
1,VIC,211,Blairgowrie,404,53.09,357,46.91,761,98.7,10,1.3,771
1,VIC,213,Boisdale,79,25.73,228,74.27,307,99.35,2,0.65,309
1,VIC,226,Bolinda,139,35.64,251,64.36,390,98.48,6,1.52,396
1,VIC,233,Bolwarra,90,31.25,198,68.75,288,98.63,4,1.37,292
1,VIC,323,Bona Vista,86,37.55,143,62.45,229,97.86,5,2.14,234
1,VIC,219,Bonbeach,806,58.03,583,41.97,1389,98.86,16,1.14,1405
1,VIC,218,Bonegilla,108,31.86,231,68.14,339,99.12,3,0.88,342
1,VIC,211,Boneo,194,57.23,145,42.77,339,99.41,2,0.59,341
1,VIC,218,Bonnie Doon,52,29.05,127,70.95,179,100,0,0,179
1,VIC,213,Boolarra,190,37.62,315,62.38,505,98.44,8,1.56,513
1,VIC,224,Boort,110,19.23,462,80.77,572,98.96,6,1.04,578
1,VIC,197,Boronia,584,46.42,674,53.58,1258,98.74,16,1.26,1274
1,VIC,197,Boronia ASTON PPVC,7178,42.56,9688,57.44,16866,98.99,172,1.01,17038
1,VIC,204,Boronia CASEY PPVC,1845,48.03,1996,51.97,3841,98.92,42,1.08,3883
1,VIC,209,Boronia DEAKIN PPVC,971,37.77,1600,62.23,2571,99.15,22,0.85,2593
1,VIC,197,Boronia East,554,51.2,528,48.8,1082,98.9,12,1.1,1094
1,VIC,197,Boronia North,626,48.64,661,51.36,1287,98.47,20,1.53,1307
1,VIC,197,Boronia West,853,51.73,796,48.27,1649,98.86,19,1.14,1668
1,VIC,216,Botanic Ridge,765,38.52,1221,61.48,1986,99,20,1,2006
1,VIC,205,Box Hill (Chisholm),363,61.01,232,38.99,595,99.33,4,0.67,599
1,VIC,229,Box Hill (Menzies),389,54.25,328,45.75,717,99.17,6,0.83,723
1,VIC,205,Box Hill Central,462,62.77,274,37.23,736,98.4,12,1.6,748
1,VIC,205,Box Hill CHISHOLM PPVC,3504,53.47,3049,46.53,6553,99.14,57,0.86,6610
1,VIC,209,Box Hill DEAKIN PPVC,1563,50.19,1551,49.81,3114,99.11,28,0.89,3142
1,VIC,221,Box Hill KOOYONG PPVC,2943,50.29,2909,49.71,5852,99.24,45,0.76,5897
1,VIC,229,Box Hill MENZIES PPVC,3440,49.88,3457,50.12,6897,98.9,77,1.1,6974
1,VIC,229,Box Hill North,496,61.92,305,38.08,801,99.13,7,0.87,808
1,VIC,205,Box Hill South,675,66.18,345,33.82,1020,99.61,4,0.39,1024
1,VIC,233,Branxholme,24,17.78,111,82.22,135,97.83,3,2.17,138
1,VIC,321,Braybrook,652,65.2,348,34.8,1000,97.56,25,2.44,1025
1,VIC,213,Briagolong,189,38.81,298,61.19,487,99.59,2,0.41,489
1,VIC,220,Briar Hill,806,61.48,505,38.52,1311,99.24,10,0.76,1321
1,VIC,224,Bridgewater,53,20.23,209,79.77,262,100,0,0,262
1,VIC,322,Bridport,568,73.58,204,26.42,772,99.36,5,0.64,777
1,VIC,218,Bright,247,56.39,191,43.61,438,98.65,6,1.35,444
1,VIC,218,Bright PPVC,1153,43.62,1490,56.38,2643,99.29,19,0.71,2662
1,VIC,214,Brighton,1164,54.96,954,45.04,2118,98.97,22,1.03,2140
1,VIC,214,Brighton Beach,714,57.21,534,42.79,1248,99.13,11,0.87,1259
1,VIC,214,Brighton East,653,50.86,631,49.14,1284,99.38,8,0.62,1292
1,VIC,214,Brighton East Upper,927,63.49,533,36.51,1460,98.92,16,1.08,1476
1,VIC,214,Brighton GOLDSTEIN PPVC,7505,50.94,7227,49.06,14732,99.35,96,0.65,14828
1,VIC,322,Brighton MACNAMARA PPVC,4318,65.68,2256,34.32,6574,99.29,47,0.71,6621
1,VIC,214,Brighton North,1152,58.57,815,41.43,1967,98.74,25,1.26,1992
1,VIC,324,Broadford,500,31.61,1082,68.39,1582,98.88,18,1.13,1600
1,VIC,203,Broadmeadows,570,52.49,516,47.51,1086,96.62,38,3.38,1124
1,VIC,203,Broadmeadows North,634,48.55,672,51.45,1306,98.05,26,1.95,1332
1,VIC,326,Brookfield,760,48.53,806,51.47,1566,99.24,12,0.76,1578
1,VIC,198,Brown Hill,670,47.02,755,52.98,1425,99.23,11,0.77,1436
1,VIC,234,Brunswick,1975,86.74,302,13.26,2277,99.04,22,0.96,2299
1,VIC,228,Brunswick East (Melbourne),629,82.98,129,17.02,758,98.96,8,1.04,766
1,VIC,234,Brunswick East (Wills),809,82.97,166,17.03,975,99.29,7,0.71,982
1,VIC,234,Brunswick North,1952,83.78,378,16.22,2330,98.9,26,1.1,2356
1,VIC,234,Brunswick North East,1751,89.38,208,10.62,1959,98.94,21,1.06,1980
1,VIC,234,Brunswick North West,793,80.84,188,19.16,981,98,20,2,1001
1,VIC,234,Brunswick South,919,86.86,139,13.14,1058,99.06,10,0.94,1068
1,VIC,228,Brunswick South East (Melbourne),1017,88.9,127,11.1,1144,99.39,7,0.61,1151
1,VIC,234,Brunswick South East (Wills),633,92.14,54,7.86,687,99.28,5,0.72,692
1,VIC,234,Brunswick South West,1271,82.91,262,17.09,1533,99.03,15,0.97,1548
1,VIC,234,Brunswick West,858,74.61,292,25.39,1150,99.05,11,0.95,1161
1,VIC,213,Bruthen,134,31.09,297,68.91,431,99.08,4,0.92,435
1,VIC,213,Buchan,59,39.6,90,60.4,149,99.33,1,0.67,150
