2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,180,Lameroo,61,14.77,352,85.23,413,99.28,3,0.72,416
1,SA,188,Langhorne Creek,110,30.39,252,69.61,362,99.72,1,0.28,363
1,SA,185,Largs Bay,851,46.81,967,53.19,1818,98.32,31,1.68,1849
1,SA,185,Largs Bay West,490,52.8,438,47.2,928,98.51,14,1.49,942
1,SA,183,Laura,68,15.35,375,84.65,443,99.33,3,0.67,446
1,SA,183,Leigh Creek,40,47.62,44,52.38,84,98.82,1,1.18,85
1,SA,188,Lenswood,141,39.28,218,60.72,359,97.55,9,2.45,368
1,SA,190,Linden Park,529,50.05,528,49.95,1057,98.6,15,1.4,1072
1,SA,188,Littlehampton,555,45.57,663,54.43,1218,99.02,12,0.98,1230
1,SA,188,Lobethal,402,34.15,775,65.85,1177,99.07,11,0.93,1188
1,SA,183,Lochiel,26,20.63,100,79.37,126,98.44,2,1.56,128
1,SA,183,Lock,19,10.5,162,89.5,181,100,0,0,181
1,SA,185,Lockleys,396,35.55,718,64.45,1114,99.29,8,0.71,1122
1,SA,185,Lockleys North,522,41.46,737,58.54,1259,98.98,13,1.02,1272
1,SA,188,Longwood,319,64.31,177,35.69,496,98.8,6,1.2,502
1,SA,179,Lower North Adelaide,425,53.06,376,46.94,801,98.77,10,1.23,811
1,SA,180,Loxton,333,15.86,1766,84.14,2099,99.2,17,0.8,2116
